Id,Label,timeset,modularity_class,componentnumber,strongcompnum,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering,eigencentrality
6NOD3SI,6NOD3SI,,4,0,3746,0.000092,0,2,2,0,2,2,2,0.666667,0.75,0,0,0.008939,0,0
MoniqueAdriaan1,MoniqueAdriaan1,,4,0,3747,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
Thrilho505,Thrilho505,,4,0,3750,0.000092,0,3,3,0,3,3,2,0.8,0.875,0,0,0.000742,0,0
SJWreptilian,SJWreptilian,,4,0,3749,0.000118,1,0,1,1,0,1,0,0,0,0,0.00003,0,0,0.001523
jenniferjmedina,jenniferjmedina,,4,0,3748,0.000118,1,1,2,1,1,2,1,1,1,0,0.00003,0.000067,0,0.001523
PcolaBucsfan,PcolaBucsfan,,4,0,3751,0.000092,0,2,2,0,2,2,1,1,1,0,0,0.000078,0.5,0
AUTacity,AUTacity,,4,0,3752,0.000092,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.014677,0,0
untwin34,untwin34,,4,0,3753,0.000092,0,2,2,0,2,2,1,1,1,0,0,0.000078,0.5,0
Spacekatgirl,Spacekatgirl,,165,0,11,0.00012,1,0,1,1,0,1,0,0,0,0,0.000002,0,0,0.003949
AlexpHSL,AlexpHSL,,19,0,753,0.0001,1,0,1,1,0,1,0,0,0,0,0.000024,0,0,0.001958
HarleyTrump2020,HarleyTrump2020,,4,0,3754,0.000092,0,1,1,0,1,1,6,0.247525,0.277778,0,0,0.011823,0,0
Riko,Riko,,4,0,549,0.000105,2,0,2,2,0,2,0,0,0,0,0.005442,0,0,0.003392
MikeStuchbery,MikeStuchbery,,4,0,548,0.000118,3,0,3,3,0,3,0,0,0,0,0.006305,0,0,0.004915
CGS_Tech,CGS_Tech,,90,0,3755,0.000092,0,1,1,0,1,1,2,0.545455,0.583333,0,0,0.000005,0,0
_Celestrian_,_Celestrian_,,4,0,3756,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.000001,0,0
StupidBoomers,StupidBoomers,,37,41,3757,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
Dan4Liberty,Dan4Liberty,,4,0,3758,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
Heather_11_16,Heather_11_16,,4,0,3760,0.000092,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,0,0
ResistanceZone,ResistanceZone,,4,0,3759,0.00021,2,1,3,2,1,3,1,1,1,0,0.000011,0.000264,0.166667,0.003045
IGN,IGN,,4,0,462,0.000162,6,0,6,6,0,6,0,0,0,0,0.016737,0,0,0.009483
Engelsiscool,Engelsiscool,,278,270,3762,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
sadbukharin,sadbukharin,,278,270,3761,0.00021,2,0,2,2,0,2,0,0,0,0,0,0,0,0.003045
rogowhiskey,rogowhiskey,,278,270,3764,0.000092,0,2,2,0,2,2,1,1,1,0,0,0,0,0
HoesamaBinLaden,HoesamaBinLaden,,278,270,3763,0.000131,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
PrimateMurder,PrimateMurder,,4,0,3765,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.00055,0,0
The_Sad_Punk,The_Sad_Punk,,4,0,3768,0.000092,0,5,5,0,5,5,1,1,1,0,0,0.001135,0,0
JenandZen,JenandZen,,4,0,3767,0.000108,1,0,1,1,0,1,0,0,0,0,0.000046,0,0,0.001523
diamonddunnie,diamonddunnie,,279,271,3770,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
castpixel,castpixel,,279,271,3769,0.00017,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
brandonorselli,brandonorselli,,4,0,3771,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.00055,0,0
ChristieBeaches,ChristieBeaches,,4,0,3772,0.000092,0,2,2,0,2,2,1,1,1,0,0,0.000265,0.5,0
peninachan,peninachan,,4,0,3773,0.000092,0,2,2,0,2,2,6,0.247934,0.28,0,0,0.019717,0,0
maxcon11,maxcon11,,4,0,3774,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
anonfs03,anonfs03,,4,0,3775,0.000092,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.014396,0,0
Cnvrswrld,Cnvrswrld,,4,0,221,0.000231,1,1,2,1,1,2,2,0.666667,0.75,0,0.00194,0.014396,0.5,0.01195
ChrisSchumerth,ChrisSchumerth,,280,142,3777,0.000092,0,2,2,0,2,2,1,1,1,0,0,0,0,0
olivia,olivia,,280,142,3776,0.000131,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
cat_enforce,cat_enforce,,23,25,3778,0.000092,0,2,2,0,2,2,2,0.583333,0.642857,0,0,0,0.5,0
lissadoll4eva,lissadoll4eva,,4,0,3779,0.000092,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.001044,0,0
recockulousIdea,recockulousIdea,,4,0,3781,0.000092,0,2,2,0,2,2,1,1,1,0,0,0.000182,0,0
MrAndyNgo,MrAndyNgo,,4,0,3780,0.000131,1,0,1,1,0,1,0,0,0,0,0.000007,0,0,0.001523
PL4Y3R_0N3,PL4Y3R_0N3,,4,0,3782,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
GinBatch,GinBatch,,4,0,3783,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
The_Omeggos,The_Omeggos,,4,0,3787,0.000092,0,4,4,0,4,4,1,1,1,0,0,0.000562,0,0
AngelPrivilenge,AngelPrivilenge,,4,0,3786,0.000112,1,0,1,1,0,1,0,0,0,0,0.000023,0,0,0.001523
Lanipator,Lanipator,,4,0,3785,0.000112,1,0,1,1,0,1,0,0,0,0,0.000023,0,0,0.001523
TeamYouTube,TeamYouTube,,4,0,3784,0.000112,1,0,1,1,0,1,0,0,0,0,0.000023,0,0,0.001523
DinomanWatson,DinomanWatson,,165,0,3788,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
YellowTols,YellowTols,,4,0,3789,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
kimmynya,kimmynya,,165,0,3790,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
Chat_Mort,Chat_Mort,,4,0,3791,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
nuckles87,nuckles87,,165,0,3792,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
kankokage,kankokage,,4,0,3793,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
lan_kenshi,lan_kenshi,,4,0,3794,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
BrianNiemeier,BrianNiemeier,,4,0,3795,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
mattjohnson217,mattjohnson217,,23,25,809,0.000122,1,0,1,1,0,1,0,0,0,0,0,0,0,0.002564
BylineBelife,BylineBelife,,165,0,3796,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
ghosthack156,ghosthack156,,4,0,3797,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
GamesOfShitpost,GamesOfShitpost,,281,272,3800,0.000092,0,2,2,0,2,2,1,1,1,0,0,0,0,0
hzulla,hzulla,,281,272,3799,0.000131,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
netzpolitik,netzpolitik,,281,272,3798,0.000131,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
ruledbysequins,ruledbysequins,,165,0,3801,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
D_Zemmour,D_Zemmour,,4,0,3802,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.004889,0,0
capobianco_slv,capobianco_slv,,4,0,3803,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.000182,0,0
MAATOHA,MAATOHA,,4,0,3804,0.000092,0,6,6,0,9,9,3,0.571429,0.708333,0,0,0.035618,0.033333,0
GilletteUganda,GilletteUganda,,282,273,3806,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
toransugaru,toransugaru,,282,273,3805,0.00017,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
Sukii7s,Sukii7s,,23,25,807,0.000122,1,0,1,1,0,1,0,0,0,0,0,0,0,0.002564
TheSandmanSlim,TheSandmanSlim,,4,0,3807,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
TaiiwoDev,TaiiwoDev,,283,274,3809,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
jesslynnrose,jesslynnrose,,283,274,3808,0.00017,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
XaviSylv,XaviSylv,,4,0,3810,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
chris_redar,chris_redar,,284,131,3811,0.000092,0,3,3,0,3,3,1,1,1,0,0,0,0.333333,0
Hegelbon,Hegelbon,,284,131,2413,0.000167,2,2,4,2,2,4,1,1,1,0,0,0,0.333333,0.003392
jacksmithiv,jacksmithiv,,284,131,2412,0.000237,3,0,3,3,0,3,0,0,0,0,0,0,0.333333,0.005648
mic,mic,,284,131,2411,0.000237,3,0,3,3,0,3,0,0,0,0,0,0,0.333333,0.005648
Punishedstitch,Punishedstitch,,4,0,3812,0.000092,0,2,2,0,2,2,1,1,1,0,0,0.004905,0,0
Lustache,Lustache,,4,0,3813,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
cloutdave,cloutdave,,339,275,3815,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
anitasarkeesian,anitasarkeesian,,339,275,3814,0.000249,3,0,3,3,0,3,0,0,0,0,0,0,0,0.004568
jamesavis1988,jamesavis1988,,4,0,3816,0.000092,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.001044,0,0
JudyWinfree,JudyWinfree,,55,0,2168,0.000112,1,0,1,1,0,1,0,0,0,0,0,0,0,0.00187
Sophielafriture,Sophielafriture,,4,0,3817,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
kainedamo,kainedamo,,4,0,647,0.000113,2,6,8,2,7,9,2,0.875,0.928571,0.000001,0.002367,0.002606,0.035714,0.003045
ParasiteHilt0n,ParasiteHilt0n,,4,0,3818,0.000092,0,2,2,0,2,2,6,0.247729,0.279444,0,0,0.026219,0.5,0
GoGamerGate2015,GoGamerGate2015,,4,0,3820,0.000092,0,6,6,0,6,6,1,1,1,0,0,0.008396,0,0
PALE,PALE,,4,0,3819,0.000105,1,0,1,1,0,1,0,0,0,0,0.000342,0,0,0.001523
LibertarianBlue,LibertarianBlue,,4,0,1481,0.000116,2,0,2,2,0,2,0,0,0,0,0.000774,0,0,0.003045
Benjothefirst,Benjothefirst,,4,0,3821,0.000092,0,1,1,0,1,1,7,0.211119,0.232643,0,0,0.000252,0,0
SnowyTiitan,SnowyTiitan,,4,0,3822,0.000092,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.014396,0,0
asongofwar,asongofwar,,4,0,3823,0.000092,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.014396,0,0
gimzod76,gimzod76,,4,0,3824,0.000092,0,3,3,0,3,3,8,0.179641,0.210167,0,0,0.047399,0.5,0
CDPROJEKTRED,CDPROJEKTRED,,90,0,1319,0.000304,3,0,3,3,0,3,0,0,0,0,0.000024,0,0.333333,0.00665
HiroboTV,HiroboTV,,4,0,3825,0.000092,0,2,2,0,2,2,1,1,1,0,0,0.000078,0.5,0
BrendanNyhan,BrendanNyhan,,4,0,1769,0.000102,1,0,1,1,0,1,0,0,0,0,0.001608,0,0,0.001523
TrumpsAlert,TrumpsAlert,,4,0,1768,0.000102,1,0,1,1,0,1,0,0,0,0,0.001608,0,0,0.001523
pewdiepie,pewdiepie,,4,0,681,0.000128,4,0,4,4,0,4,0,0,0,0,0.003039,0,0.083333,0.006438
elknight20,elknight20,,165,0,3826,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
Dog0fWar88,Dog0fWar88,,285,276,3828,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
Fistbane,Fistbane,,285,276,3827,0.00017,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
SpaceKingBobby,SpaceKingBobby,,165,0,3829,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
The_Spore666,The_Spore666,,4,0,3830,0.000092,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.001044,0,0
CalemAnnk,CalemAnnk,,4,0,3831,0.000092,0,1,1,0,1,1,8,0.221402,0.255361,0,0,0.003674,0,0
cisuMaria,cisuMaria,,165,0,3832,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
fuzzytoad,fuzzytoad,,4,0,3835,0.000092,0,4,4,0,4,4,2,0.833333,0.9,0,0,0.01935,0,0
RockiiRoadd,RockiiRoadd,,4,0,3834,0.000112,1,0,1,1,0,1,0,0,0,0,0.000789,0,0,0.001523
Conker327,Conker327,,4,0,3833,0.000112,1,0,1,1,0,1,0,0,0,0,0.000789,0,0,0.001523
bennybrownt,bennybrownt,,4,0,852,0.000101,1,2,3,1,2,3,1,1,1,0,0.000025,0.000078,0.333333,0.004289
BVapista,BVapista,,286,277,3837,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
ManCaveJokes,ManCaveJokes,,286,277,3836,0.00017,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
brentlemen,brentlemen,,165,0,3838,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
TheBurningDonut,TheBurningDonut,,4,0,223,0.000214,5,0,5,5,0,5,0,0,0,0,0.011587,0,0.05,0.029033
CrookedCoatTodd,CrookedCoatTodd,,165,0,3839,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
1eyewitness,1eyewitness,,4,0,3840,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
andcallmejackal,andcallmejackal,,4,0,3841,0.000092,0,1,1,0,2,2,2,0.666667,0.75,0,0,0.014396,0,0
HugoBoylan,HugoBoylan,,165,0,3842,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
SaintTzu,SaintTzu,,4,0,1721,0.000178,2,0,2,2,0,2,0,0,0,0,0.002554,0,0,0.003045
Tuomas_Heikkila,Tuomas_Heikkila,,4,0,3843,0.000092,0,1,1,0,1,1,3,0.466667,0.5,0,0,0.000009,0,0
MitchyK7,MitchyK7,,4,0,3844,0.000092,0,3,3,0,3,3,9,0.161084,0.199404,0,0,0.00138,0,0
SurrealBrain,SurrealBrain,,165,0,3845,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
frittforum,frittforum,,4,0,3848,0.000092,0,3,3,0,4,4,1,1,1,0,0,0.001093,0.333333,0
eussrfi,eussrfi,,4,0,3847,0.000118,1,1,2,1,1,2,1,1,1,0,0.000045,0.001089,0.5,0.001523
Vecheetos,Vecheetos,,4,0,3849,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.000082,0,0
BrianBachner,BrianBachner,,4,0,3850,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
whatdoeslunasay,whatdoeslunasay,,287,278,3852,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
atax1a,atax1a,,287,278,3851,0.00017,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
PhoenixDK,PhoenixDK,,165,0,3853,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
krisyunianto1,krisyunianto1,,288,279,3855,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
arman,arman,,288,279,3854,0.000719,8,0,8,8,0,8,0,0,0,0,0,0,0,0.012182
