,A,Follows B,A_lat,A_lng,B_lat,B_lng,,user_screen_name,user_statuses_count,user_verified,lat,lng
70,MrNashington,stranahan,NA,NA,38.9071923,-77.0368707,,RollingStone,83469,TRUE,40.7127753,-74.0059728
71,stranahan,MrNashington,38.9071923,-77.0368707,NA,NA,,Cernovich,77212,TRUE,33.7174708,-117.8311428
72,MrNashington,willsommer,NA,NA,38.9071923,-77.0368707,,Grummz,14476,TRUE,33.791638,-84.389488
73,willsommer,MrNashington,38.9071923,-77.0368707,NA,NA,,oliverbcampbell,83307,TRUE,41.8780025,-93.097702
74,MrNashington,Cernovich,NA,NA,33.7174708,-117.8311428,,kyliesparks,131989,TRUE,,
75,Cernovich,MrNashington,33.7174708,-117.8311428,NA,NA,,Spacekatgal,64596,TRUE,42.3600825,-71.0588801
76,PrisonPlanet,MrNashington,51.5073509,-0.1277583,NA,NA,,kyliesparks,131989,TRUE,,
77,BreitbartTech,RLewisReports,34.0522342,-118.2436849,33.791638,-84.389488,,HashtagGriswold,16182,TRUE,40.5922619,-82.1905578
78,RLewisReports,BreitbartTech,33.791638,-84.389488,34.0522342,-118.2436849,,schwarz,23079,TRUE,33.791638,-84.389488
79,BreitbartTech,stranahan,34.0522342,-118.2436849,38.9071923,-77.0368707,,k_delamont,6943,TRUE,51.253775,-85.323214
80,BreitbartTech,TheBrandonMorse,34.0522342,-118.2436849,32.7766642,-96.7969879,,stillgray,201735,TRUE,33.791638,-84.389488
81,Boogie2988,RLewisReports,35.4918386,-92.0315666,33.791638,-84.389488,,UnburntWitch,103911,TRUE,38.898514,-77.010664
82,RLewisReports,stranahan,33.791638,-84.389488,38.9071923,-77.0368707,,VentureBeat,105653,TRUE,40.769436,-73.962679
83,RLewisReports,Grummz,33.791638,-84.389488,33.791638,-84.389488,,KikkiPlanet,183384,TRUE,,
84,Grummz,RLewisReports,33.791638,-84.389488,33.791638,-84.389488,,rjcc,91537,TRUE,44.3148443,-85.6023643
85,crecenteb,RLewisReports,40.7127753,-74.0059728,33.791638,-84.389488,,sarahmei,23703,TRUE,37.7749295,-122.4194155
86,TheBrandonMorse,RLewisReports,32.7766642,-96.7969879,33.791638,-84.389488,,melsil,60470,TRUE,,
87,RLewisReports,Cernovich,33.791638,-84.389488,33.7174708,-117.8311428,,jonhumbert,57287,TRUE,47.6062095,-122.3320708
88,Cernovich,RLewisReports,33.7174708,-117.8311428,33.791638,-84.389488,,ClaraJeffery,135531,TRUE,41.1398704,-112.0281318
89,HashtagGriswold,RLewisReports,40.5922619,-82.1905578,33.791638,-84.389488,,Spacekatgal,64596,TRUE,42.3600825,-71.0588801
90,RLewisReports,rjcc,33.791638,-84.389488,44.3148443,-85.6023643,,PrisonPlanet,46357,TRUE,51.5073509,-0.1277583
91,PrisonPlanet,RLewisReports,51.5073509,-0.1277583,33.791638,-84.389488,,Snubs,30490,TRUE,37.7749295,-122.4194155
92,CathyYoung63,RLewisReports,40.0583238,-74.4056612,33.791638,-84.389488,,jason_pontin,56364,TRUE,42.3736158,-71.1097335
93,Boogie2988,Luceobrien,35.4918386,-92.0315666,-33.8982661,151.2040571,,JayCartere,121142,TRUE,51.518271,-0.1513949
94,Luceobrien,Boogie2988,-33.8982661,151.2040571,35.4918386,-92.0315666,,stillgray,201735,TRUE,33.791638,-84.389488
95,Boogie2988,Spacekatgal,35.4918386,-92.0315666,42.3600825,-71.0588801,,stillgray,201735,TRUE,33.791638,-84.389488
96,Spacekatgal,Boogie2988,42.3600825,-71.0588801,35.4918386,-92.0315666,,stillgray,201735,TRUE,33.791638,-84.389488
97,Boogie2988,Grummz,35.4918386,-92.0315666,33.791638,-84.389488,,stillgray,201735,TRUE,33.791638,-84.389488
98,Grummz,Boogie2988,33.791638,-84.389488,35.4918386,-92.0315666,,MartinBelam,95699,TRUE,NA,NA
99,crecenteb,Boogie2988,40.7127753,-74.0059728,35.4918386,-92.0315666,,MckKirk,93697,TRUE,,
100,Boogie2988,TheBrandonMorse,35.4918386,-92.0315666,32.7766642,-96.7969879,,stillgray,201735,TRUE,33.791638,-84.389488
101,Boogie2988,oliverbcampbell,35.4918386,-92.0315666,41.8780025,-93.097702,,stillgray,201735,TRUE,33.791638,-84.389488
102,oliverbcampbell,Boogie2988,41.8780025,-93.097702,35.4918386,-92.0315666,,Deceptive_Games,2963,TRUE,52.1306607,-3.7837117
103,Boogie2988,UnburntWitch,35.4918386,-92.0315666,38.898514,-77.010664,,pinkness,26436,TRUE,38.898514,-77.010664
104,UnburntWitch,Boogie2988,38.898514,-77.010664,35.4918386,-92.0315666,,redlianak,101042,TRUE,43.653226,-79.3831843
105,rjcc,Boogie2988,44.3148443,-85.6023643,35.4918386,-92.0315666,,CathyYoung63,117205,TRUE,40.0583238,-74.4056612
106,Boogie2988,JayCartere,35.4918386,-92.0315666,51.518271,-0.1513949,,Spacekatgal,64596,TRUE,42.3600825,-71.0588801
