Id,Label,timeset,lat,lng,polarity,followers,friends,listed,status,polarity_boolean,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,strongcompnum
Vae_00,Vae_00,,44.07,-122.411031,0.018519,1457,1564,38,21194,FALSE,6,5,11,6,5,11,93,0.082767,0.140808,89444.884594,3,0.000386,3,381
SlayVonMartin,SlayVonMartin,,23.113592,-81.913305,0.075,311,397,19,7653,FALSE,1,1,2,1,1,2,95,0.068885,0.100509,45171.355331,3,0.000092,3,381
ShinyUmbreon360,ShinyUmbreon360,,31.968599,-81.913305,0.075,760,873,35,18092,FALSE,1,1,2,1,1,2,94,0.073976,0.114175,45142.355331,3,0.000104,3,381
LiteralPuppet,LiteralPuppet,,43.653226,-82.998794,0.075,130,244,2,3912,FALSE,1,1,2,1,1,2,93,0.079878,0.132741,45113.355331,3,0.000114,3,381
AbsoluteSpeech,AbsoluteSpeech,,33.791638,103.6,0.091667,275,1189,67,12277,FALSE,2,3,5,2,3,5,92,0.086805,0.159872,110985.620883,3,0.000232,3,381
CameronJKiesser,CameronJKiesser,,45.63184,-72.387502,0.075,895,1659,17,73037,FALSE,1,1,2,1,1,2,94,0.07939,0.130878,955.396915,3,0.000091,3,381
ReaperGorgo,ReaperGorgo,,33.791638,-81.913305,-0.086333,611,1268,22,8723,TRUE,5,5,10,5,5,10,93,0.086226,0.157161,106916.731754,3,0.00038,3,381
Mother3Forever,Mother3Forever,,33.791638,-122.411031,0.01875,182,254,2,14936,FALSE,1,1,2,1,1,2,94,0.080308,0.136298,532.864683,3,0.000068,3,381
Wyndie57,Wyndie57,,33.836081,-122.411031,0.075,343,740,19,16380,FALSE,1,1,2,1,1,2,94,0.077059,0.123451,5799.137037,3,0.000093,3,381
FIREandALTFURRY,FIREandALTFURRY,,0,0,0.075,382,2633,2,1601,FALSE,1,1,2,1,1,2,93,0.083488,0.145984,5770.137037,3,0.000105,3,381
_Kabaiel_,_Kabaiel_,,37.431573,103.6,-0.108333,127,343,13,5725,TRUE,3,3,6,3,3,6,95,0.077273,0.127302,31111.428925,3,0.000189,3,381
1eyewitness,1eyewitness,,34.052234,103.6,0.2125,539,1330,43,36583.5,FALSE,2,2,4,2,2,4,94,0.074999,0.118847,23640.236464,3,0.000187,3,381
Vergey_NomLynx,Vergey_NomLynx,,37.774929,-122.411031,0.0375,279,632,10,28738,FALSE,2,2,4,2,2,4,93,0.080979,0.13885,25302.137937,3,0.00016,3,381
Pilviaika,Pilviaika,,61.92411,-81.913305,0.058333,409,856,69,27027,FALSE,2,2,4,2,2,4,92,0.086691,0.159266,14998.29859,3,0.00015,3,381
GG_SunTzu,GG_SunTzu,,33.791638,-84.389488,-0.019192,566,637,96,56428,TRUE,9,9,18,9,9,18,93,0.08738,0.166067,125082.672462,3,0.000582,3,381
TheSouthWolf,TheSouthWolf,,37.09024,-122.411031,0.075,300,1055,19,5058,FALSE,1,1,2,1,1,2,94,0.079398,0.133904,87.530643,3,0.000078,3,381
Loud_Warrior,Loud_Warrior,,44.07,-82.998794,0.02,159,72,2,10192,FALSE,5,5,10,5,5,10,93,0.086239,0.161869,33372.936237,3,0.000316,3,381
Railing_red,Railing_red,,33.791638,-81.913305,-0.255354,,1523,51,131500,TRUE,5,5,10,5,5,10,93,0.084718,0.153729,66505.575935,3,0.000305,3,381
fishnuclez,fishnuclez,,-34.76827,-84.389488,-0.175,863,172,13,11414,TRUE,3,3,6,3,3,6,94,0.079917,0.135421,30245.746886,3,0.000219,3,381
