,user_id,in_reply_to_user_id
3080,9.22E+17,4240850893
3092,16686475,128730616
3219,1110309750,43754642
3238,737104831,737104831
3239,9.00E+17,2951963678
3279,3422978644,1294741
3290,547249905,547249905
3310,1875937398,1598830746
3355,26579139,26579139
3373,17398320,936981026
3374,26579139,486039063
3385,43754642,43754642
3388,46584257,17398320
3410,2300869279,269199676
3443,34705390,34705390
3465,45721910,45721910
3468,45721910,45721910
3473,2523246653,7.20E+17
3492,218245143,14377605
3513,2796417967,27577576
3519,1875937398,1598830746
3528,7.64E+17,27577576
3529,2457172872,2488096033
3530,2457172872,2488096033
3532,2457172872,2488096033
3542,439235982,211855168
3548,112614146,27577576
3562,3352406494,2877481450
3570,1359055698,18880970
3571,326118600,47475039
3575,2457172872,2488096033
3582,1949272500,4571328341
3583,8.04E+17,8038532
3584,1686448148,16076032
3597,7.97E+17,2891322910
3598,7.08E+17,27577576
3646,942340093,3410350325
3662,2841780763,18643437
3686,18880970,478687097
3697,20959178,20959178
3715,3532553837,7.71E+17
3716,2835290290,42345999
3722,2693394814,207778228
3733,4833889217,555661926
3741,946849243,26029878
3759,42345999,42345999
3762,42345999,15009761
3770,2571977750,42345999
3771,42345999,15009761
3772,8.16E+17,8.01E+17
3777,3116145481,15009761
3780,3116145481,15009761
3788,8.80E+17,42345999
3802,4191974301,7.39E+17
3807,4191974301,2927250157
3809,4191974301,7.39E+17
3810,2830746763,3254796819
3813,590785241,7.53E+17
3814,2830746763,2830746763
3821,605201251,301445034
3823,4253666414,4253666414
3827,7.71E+17,236981019
3828,7.71E+17,3532553837
3830,7.71E+17,14237828
3835,195858236,3070406514
3839,3070406514,88001676
3842,891986648,42345999
3847,1166762024,1635572390
3850,3070406514,27577576
3868,8.47E+17,14237828
3883,15035654,8.63E+17
3900,1949272500,114684274
3902,1949272500,42345999
3904,1949272500,27577576
3913,2715747409,487039635
3920,3670075457,148487300
3929,2814040284,2814040284
3930,2814040284,2814040284
3940,33691132,33691132
3943,8.83E+17,27577576
3948,8.42E+17,27577576
3949,7.93E+17,7.93E+17
3953,14835528,27577576
3960,426525328,22040252
3962,7.72E+17,7.72E+17
3966,7.93E+17,7.93E+17
3981,7.72E+17,27577576
4017,1184220842,1184220842
4019,8.32E+17,15369857
