Id,Label,timeset,modularity_class,componentnumber,strongcompnum,pageranks,Code,Language,
tucsonrepo,tucsonrepo,,76,0,294,0.000119,#N/A,Other,3409
PhillyD,PhillyD,,76,0,293,0.000193,#N/A,Other,3409
TheSpaceHamster,TheSpaceHamster,,4,0,483,0.000092,#N/A,Other,3409
DeusVermiculus,DeusVermiculus,,4,0,482,0.000131,#N/A,Other,3409
mtgheadquarters,mtgheadquarters,,4,0,481,0.000267,en,English,1363
shandrick,shandrick,,4,0,484,0.000092,#N/A,Other,3409
1Alienscomicfan,1Alienscomicfan,,165,0,485,0.000092,en,English,1363
MadbanditRoy,MadbanditRoy,,165,0,14,0.000196,en,English,1363
Edwin,Edwin,,165,0,13,0.000181,#N/A,Other,3409
Imaconsumer,Imaconsumer,,4,0,487,0.000119,en,English,1363
Nebraska_Dave,Nebraska_Dave,,4,0,489,0.000092,en,English,1363
PunkleJones,PunkleJones,,4,0,490,0.000092,en,English,1363
The,The,,4,0,67,0.004357,#N/A,Other,3409
FoxDieRox2,FoxDieRox2,,4,0,360,0.000255,en,English,1363
Spawnfreak,Spawnfreak,,4,0,491,0.000092,en,English,1363
koalalampour,koalalampour,,165,0,495,0.000098,#N/A,Other,3409
Corey,Corey,,165,0,494,0.000113,#N/A,Other,3409
arrakis,arrakis,,165,0,493,0.000113,#N/A,Other,3409
NuclearTakes,NuclearTakes,,165,0,492,0.000264,#N/A,Other,3409
dreamfalltiger,dreamfalltiger,,4,0,393,0.000115,en,English,1363
FluryPD,FluryPD,,4,0,496,0.000092,en,English,1363
HeComeToTown,HeComeToTown,,4,0,497,0.000092,en,English,1363
Lucian1227,Lucian1227,,4,0,498,0.000092,#N/A,Other,3409
DaimonLord,DaimonLord,,4,0,499,0.000092,en,English,1363
1MayoRice1,1MayoRice1,,7,8,502,0.000092,#N/A,Other,3409
hilgoldstein,hilgoldstein,,7,8,501,0.000131,#N/A,Other,3409
PeerIGN,PeerIGN,,7,8,500,0.000131,#N/A,Other,3409
PunishedDoggo,PunishedDoggo,,4,0,505,0.000092,en-gb,English,1363
DSAyyTeam,DSAyyTeam,,4,0,197,0.000458,en,English,1363
Saihalji,Saihalji,,4,0,504,0.000105,#N/A,Other,3409
AdultSwimAfrica,AdultSwimAfrica,,4,0,503,0.000105,#N/A,Other,3409
The_RunicKnight,The_RunicKnight,,4,0,508,0.000092,en,English,1363
Oblivious_Mike,Oblivious_Mike,,4,0,509,0.000092,en,English,1363
Sunglare,Sunglare,,4,0,510,0.000092,en,English,1363
Lonewolf165,Lonewolf165,,4,0,511,0.000092,en,English,1363
Perseus_Gold,Perseus_Gold,,4,0,514,0.000092,en,English,1363
VulcanHades,VulcanHades,,4,0,159,0.000098,#N/A,Other,3409
bluealien47,bluealien47,,4,0,158,0.000106,#N/A,Other,3409
Boogie2988,Boogie2988,,4,0,157,0.000158,en,English,1363
MiltonAVargas3,MiltonAVargas3,,4,0,515,0.000092,en,English,1363
fsbossfight,fsbossfight,,4,0,516,0.000092,en,English,1363
Kittytweetsshit,Kittytweetsshit,,165,0,217,0.000154,#N/A,Other,3409
craigbob99,craigbob99,,4,0,517,0.000092,en,English,1363
wes_t_g,wes_t_g,,8,6,518,0.000092,#N/A,Other,3409
SuperNerdMike,SuperNerdMike,,4,0,519,0.000131,en,English,1363
vedia,vedia,,4,0,335,0.000112,#N/A,Other,3409
TakeThatInsects,TakeThatInsects,,4,0,522,0.000092,#N/A,Other,3409
BeigeShiba,BeigeShiba,,4,0,521,0.000118,en,English,1363
TeamMetroWingar,TeamMetroWingar,,4,0,520,0.000143,#N/A,Other,3409
ProjectWombat,ProjectWombat,,4,0,218,0.000293,en,English,1363
poeticrat,poeticrat,,4,0,523,0.000092,en,English,1363
antifamrrogers,antifamrrogers,,165,0,524,0.000092,en,English,1363
MarkyMarg2,MarkyMarg2,,9,9,526,0.000092,#N/A,Other,3409
ForgetAmnesia,ForgetAmnesia,,9,9,525,0.00017,#N/A,Other,3409
Fear_KV,Fear_KV,,4,0,527,0.000092,#N/A,Other,3409
DavyJonesPizza,DavyJonesPizza,,4,0,528,0.000092,en,English,1363
shaenongarrity,shaenongarrity,,10,10,530,0.000092,#N/A,Other,3409
GWillowWilson,GWillowWilson,,10,10,529,0.00017,#N/A,Other,3409
MaliceToaster,MaliceToaster,,165,0,531,0.000092,en,English,1363
ShinMegamiHiro,ShinMegamiHiro,,4,0,532,0.000092,#N/A,Other,3409
ShasOFaiz,ShasOFaiz,,165,0,535,0.000092,en,English,1363
ianzu,ianzu,,4,0,164,0.000125,#N/A,Other,3409
DanGuy96,DanGuy96,,4,0,536,0.000092,en,English,1363
vivianjamesplay,vivianjamesplay,,4,0,537,0.000092,en,English,1363
SouthShoreJosh,SouthShoreJosh,,165,0,538,0.000092,#N/A,Other,3409
aaronhuertas,aaronhuertas,,165,0,21,0.000666,#N/A,Other,3409
zeynep,zeynep,,165,0,20,0.000949,#N/A,Other,3409
GoodmanHarrison,GoodmanHarrison,,165,0,19,0.001016,#N/A,Other,3409
PapaHaunts,PapaHaunts,,4,0,539,0.000092,#N/A,Other,3409
TheManaSource,TheManaSource,,4,0,156,0.000313,#N/A,Other,3409
WrongMedz,WrongMedz,,4,0,154,0.000217,en,English,1363
KalimariMak,KalimariMak,,4,0,540,0.000092,#N/A,Other,3409
lord__cupcake,lord__cupcake,,4,0,541,0.000092,#N/A,Other,3409
Elurchin,Elurchin,,11,11,543,0.000092,#N/A,Other,3409
TetrologyReal,TetrologyReal,,11,11,542,0.00017,#N/A,Other,3409
SlowpokeGarcia,SlowpokeGarcia,,4,0,544,0.000092,#N/A,Other,3409
Domenic_Jon,Domenic_Jon,,4,0,545,0.000092,#N/A,Other,3409
JuergenSchT,JuergenSchT,,4,0,546,0.000092,es,Spanish; Castilian,23
Twodeadclerks,Twodeadclerks,,4,0,547,0.000092,#N/A,Other,3409
FluffehDarkness,FluffehDarkness,,4,0,550,0.000112,en,English,1363
enterthefray1,enterthefray1,,4,0,155,0.000112,#N/A,Other,3409
SDC_Batz,SDC_Batz,,4,0,551,0.000092,en,English,1363
very_anonymous1,very_anonymous1,,4,0,552,0.000092,#N/A,Other,3409
A2ZJIRWINKO,A2ZJIRWINKO,,12,12,554,0.000092,en,English,1363
frozenbinarydev,frozenbinarydev,,12,12,553,0.00017,en,English,1363
Edgy_Canadian,Edgy_Canadian,,4,0,555,0.000092,en,English,1363
Zoaric,Zoaric,,4,0,556,0.000092,en,English,1363
jasonlollar71,jasonlollar71,,13,13,558,0.000092,en,English,1363
BustedKnuckleRC,BustedKnuckleRC,,13,13,557,0.00017,#N/A,Other,3409
Stmpy_Mch,Stmpy_Mch,,4,0,559,0.000092,en,English,1363
JC_136,JC_136,,4,0,560,0.000092,en,English,1363
Smackfacemcgee,Smackfacemcgee,,4,0,561,0.000092,sv,Swedish,7
BarbaraGroff,BarbaraGroff,,4,0,562,0.000092,en,English,1363
Inquisitor_Mead,Inquisitor_Mead,,4,0,563,0.000092,en,English,1363
berchrem,berchrem,,4,0,564,0.000092,#N/A,Other,3409
Munkeycheeze,Munkeycheeze,,4,0,565,0.000092,en,English,1363
The_Extrange,The_Extrange,,4,0,568,0.000092,en,English,1363
betepolitique,betepolitique,,4,0,569,0.000092,fr,French,6
EasternIdiom,EasternIdiom,,4,0,153,0.000098,en,English,1363
AnimuAP,AnimuAP,,4,0,570,0.000092,en,English,1363
sie_kensou77,sie_kensou77,,4,0,571,0.000092,ja,Japanese,3
Dj_MadArab,Dj_MadArab,,4,0,572,0.000092,#N/A,Other,3409
Excalizorz,Excalizorz,,4,0,573,0.000092,en,English,1363
elora_dannon,elora_dannon,,4,0,574,0.000092,#N/A,Other,3409
PevvedCanadian,PevvedCanadian,,4,0,575,0.000092,en,English,1363
FuturistDog,FuturistDog,,4,0,576,0.000092,en,English,1363
Popjack258,Popjack258,,4,0,577,0.000092,#N/A,Other,3409
GallyTurbo,GallyTurbo,,4,0,578,0.000092,#N/A,Other,3409
ABHllc,ABHllc,,4,0,579,0.000092,en,English,1363
telefontelaviv,telefontelaviv,,4,0,233,0.004086,#N/A,Other,3409
Rebell117,Rebell117,,4,0,580,0.000092,en,English,1363
UedamaProducts,UedamaProducts,,4,0,581,0.000092,en,English,1363
ParrotProphet,ParrotProphet,,4,0,582,0.000092,en,English,1363
Nytloc,Nytloc,,4,0,583,0.000092,#N/A,Other,3409
CarthAntilles,CarthAntilles,,4,0,584,0.000092,#N/A,Other,3409
thelazywafers,thelazywafers,,4,0,585,0.000092,#N/A,Other,3409
D1996Mr,D1996Mr,,4,0,586,0.000092,en,English,1363
Return_Ov_Cain,Return_Ov_Cain,,4,0,587,0.000092,en,English,1363
Frozen_Svarog,Frozen_Svarog,,14,14,589,0.000092,#N/A,Other,3409
FoxFromTheEast,FoxFromTheEast,,14,14,588,0.000405,en,English,1363
NicheNotThatGuy,NicheNotThatGuy,,4,0,204,0.00012,en,English,1363
KevinTilsner,KevinTilsner,,87,0,596,0.000092,#N/A,Other,3409
Sword0fvirtu3,Sword0fvirtu3,,87,0,595,0.000105,#N/A,Other,3409
BeanTownBorn,BeanTownBorn,,87,0,594,0.000131,en,English,1363
Zomburai,Zomburai,,87,0,593,0.000105,#N/A,Other,3409
JakemasterJ,JakemasterJ,,87,0,592,0.000105,#N/A,Other,3409
ReiterTwo,ReiterTwo,,87,0,591,0.000105,#N/A,Other,3409
wizards,wizards,,87,0,590,0.000121,#N/A,Other,3409
BoroTheBowman,BoroTheBowman,,4,0,597,0.000092,#N/A,Other,3409
ChronoSquare,ChronoSquare,,4,0,598,0.000092,en,English,1363
notstrelok,notstrelok,,4,0,250,0.0001,en,English,1363
rannos222,rannos222,,4,0,233,0.000224,en,English,1363
MarkWaid,MarkWaid,,4,0,92,0.007841,#N/A,Other,3409
mkgeiger1968,mkgeiger1968,,4,0,92,0.007683,#N/A,Other,3409
tanepiper,tanepiper,,25,15,603,0.000092,en,English,1363
dragossh,dragossh,,25,15,602,0.000112,#N/A,Other,3409
Xanthan81,Xanthan81,,4,0,604,0.000092,en,English,1363
Hazerion,Hazerion,,4,0,233,0.000144,en,English,1363
WightRat,WightRat,,4,0,605,0.000092,en,English,1363
KieranHallBAM,KieranHallBAM,,15,16,607,0.000092,#N/A,Other,3409
Hyrokii,Hyrokii,,15,16,606,0.00017,#N/A,Other,3409
BronxShogun,BronxShogun,,4,0,608,0.000092,en,English,1363
Logic_and_reaso,Logic_and_reaso,,4,0,609,0.000092,#N/A,Other,3409
AjitPaiFCC,AjitPaiFCC,,4,0,147,0.001291,#N/A,Other,3409
mysticmrbump,mysticmrbump,,4,0,610,0.000092,#N/A,Other,3409
animasolitarios,animasolitarios,,4,0,611,0.000092,en,English,1363
TheDemonEyeX,TheDemonEyeX,,4,0,615,0.000092,en,English,1363
the_claw1,the_claw1,,4,0,616,0.000092,en,English,1363
pabIovillarreal,pabIovillarreal,,4,0,617,0.000092,#N/A,Other,3409
SparklyBon,SparklyBon,,4,0,618,0.000092,en,English,1363
AbandonProphets,AbandonProphets,,4,0,619,0.000092,#N/A,Other,3409
FlammingCookie,FlammingCookie,,4,0,620,0.000092,#N/A,Other,3409
buzzworddujour,buzzworddujour,,4,0,621,0.000092,nl,Dutch; Flemish,6
J_O_Lemongello,J_O_Lemongello,,4,0,622,0.000092,#N/A,Other,3409
Tezz_OJ,Tezz_OJ,,4,0,623,0.000092,#N/A,Other,3409
etilworg,etilworg,,4,0,624,0.000092,es,Spanish; Castilian,23
BTHBcRMY,BTHBcRMY,,4,0,625,0.000092,en,English,1363
skuldarfin,skuldarfin,,4,0,627,0.000092,en,English,1363
_AshenBones,_AshenBones,,4,0,628,0.000092,en,English,1363
ScribeUndead,ScribeUndead,,4,0,630,0.000092,en,English,1363
Berkaelzar,Berkaelzar,,4,0,633,0.000092,#N/A,Other,3409
nwhitegauthier,nwhitegauthier,,4,0,632,0.000112,#N/A,Other,3409
RenkoUsami2,RenkoUsami2,,4,0,631,0.000112,#N/A,Other,3409
mombot,mombot,,4,0,27,0.015553,en,English,1363
KeenGaze,KeenGaze,,4,0,634,0.000108,de,German,31
Spliced_Me,Spliced_Me,,4,0,635,0.000092,en,English,1363
RivianRanger,RivianRanger,,4,0,636,0.000092,#N/A,Other,3409
Blaugast,Blaugast,,4,0,233,0.000437,en,English,1363
